Athlete,Nat,Gold,Silver,Bronze,Total
Sviatlana Bahinskaya,BLR URS EUN,3,1,1,5
Veikko Huhtanen,FIN,3,1,1,5
Constanța Pipotă-Burcică,ROU,3,1,1,5
Elena Georgescu,ROU,3,1,1,5
Harald Natvig,NOR,3,1,1,5
Shane Gould,AUS,3,1,1,5
Xiong Ni,CHN,3,1,1,5
Mary T. Meagher,USA,3,1,1,5
John Hencken,USA,3,1,1,5
Dezső Gyarmati,HUN,3,1,1,5
Gwen Torrence,USA,3,1,1,5
Mal Whitfield,USA,3,1,1,5
Anfisa Reztsova,RUS URS EUN,3,1,1,5
Vreni Schneider,SUI,3,1,1,5
Ian Crocker,USA,3,1,1,5
Cătălina Ponor,ROU,3,1,1,5
Cao Yuan,CHN,3,1,1,5
Iivo Niskanen,FIN,3,1,1,5
Laura Berg,USA,3,1,0,4
Anke Nothnagel-von Seck,GDR GER,3,1,0,4
Torsten Gutsche,GER,3,1,0,4
Zoltán Kammerer,HUN,3,1,0,4
Florian Rousseau,FRA,3,1,0,4
Leslie Claudius,IND,3,1,0,4
Udham Singh,IND,3,1,0,4
Tatyana Petrenko-Samusenko,BLR URS,3,1,0,4
Aldo Nadi,ITA,3,1,0,4
Franco Riccardi,ITA,3,1,0,4
Alfred Flatow,GER,3,1,0,4
Romeo Neri,ITA,3,1,0,4
Albert Azaryan,ARM URS,3,1,0,4
Drew Ginn,AUS,3,1,0,4
Ingrid Gulbin-Engel-Krämer,GDR GER,3,1,0,4
Caren Metschuck,GDR,3,1,0,4
Rie Mastenbroek,NED,3,1,0,4
Nancy Hogshead,USA,3,1,0,4
Sharon Stouder,USA,3,1,0,4
Chris von Saltza,USA,3,1,0,4
Mike Heath,USA,3,1,0,4
Charlie Hickcox,USA,3,1,0,4
Jimmy McLane,USA,3,1,0,4
Jeff Rouse,USA,3,1,0,4
Aleksandr Karelin,RUS URS EUN,3,1,0,4
Valentin Mankin,URS UKR,3,1,0,4
Jochen Schümann,GDR GER,3,1,0,4
Jan Železný,CZE TCH,3,1,0,4
Olga Bryzgina,URS UKR EUN,3,1,0,4
Tamara Press,RUS URS,3,1,0,4
Viktor Saneyev,GEO URS,3,1,0,4
Valerie Brisco-Hooks,USA,3,1,0,4
Wyomia Tyus,USA,3,1,0,4
John Flanagan,USA,3,1,0,4
Harry Hillman,USA,3,1,0,4
Steve Lewis,USA,3,1,0,4
Jim Lightbody,USA,3,1,0,4
Meyer Prinstein,USA,3,1,0,4
Deborah Compagnoni,ITA,3,1,0,4
Bernhard Germeshausen,GDR,3,1,0,4
Gillis Grafström,SWE,3,1,0,4
Tomas Gustafson,SWE,3,1,0,4
Mark Kirchner,GER,3,1,0,4
Angelo Taylor,USA,3,1,0,4
Christie Pearce-Rampone,USA,3,1,0,4
Anthony Ervin,USA,3,1,0,4
Ard Schenk,NED,3,1,0,4
Vladislav Tretyak,RUS URS,3,1,0,4
Jens Weißflog,GDR GER,3,1,0,4
Jennifer Botterill,CAN,3,1,0,4
Becky Kellar,CAN,3,1,0,4
Park Seong-Hyeon,KOR,3,1,0,4
Katinka Hosszú,HUN,3,1,0,4
Jeremy Wariner,USA,3,1,0,4
Kenenisa Bekele,ETH,3,1,0,4
Saori Yoshida,JPN,3,1,0,4
Michaël Guigou,FRA,3,1,0,4
Nikola Karabatic,FRA,3,1,0,4
Thomas Morgenstern,AUT,3,1,0,4
Meghan Agosta,CAN,3,1,0,4
Chen Yibing,CHN,3,1,0,4
Ranomi Kromowidjojo,NED,3,1,0,4
Luc Abalo,FRA,3,1,0,4
Lidewij Welten,NED,3,1,0,4
Eva de Goede,NED,3,1,0,4
Gabriella Szabó,HUN,3,1,0,4
Niccolò Campriani,ITA,3,1,0,4
Maria Höfl-Riesch,GER,3,1,0,4
Marcus Hellner,SWE,3,1,0,4
Marie-Philip Poulin,CAN,3,1,0,4
Rebecca Johnston,CAN,3,1,0,4
Zhang Jike,CHN,3,1,0,4
Li Xiaoxia,CHN,3,1,0,4
Ding Ning,CHN,3,1,0,4
Michael Jung,GER,3,1,0,4
Marja-Liisa Hämäläinen-Kirvesniemi,FIN,3,0,4,7
Yelena Välbe,RUS EUN,3,0,4,7
Rüdiger Helm,GDR,3,0,3,6
Angel Martino,USA,3,0,3,6
Tirunesh Dibaba,ETH,3,0,3,6
Max Whitlock,GBR,3,0,3,6
Jens Fiedler,GER,3,0,2,5
Tibor Berczelly,HUN,3,0,2,5
Paavo Aaltonen,FIN,3,0,2,5
Eskild Ebbesen,DEN,3,0,2,5
Dennis Fenton,USA,3,0,2,5
Henry Taylor,GBR,3,0,2,5
Katja Seizinger,GER,3,0,2,5
Marc Gagnon,CAN,3,0,2,5
Anni Friesinger-Postma,GER,3,0,2,5
Teddy Riner,FRA,3,0,2,5
Irene Schouten,NED,3,0,2,5
Reggie Doherty,GBR,3,0,1,4
Lyudmila Khvedosyuk-Pinayeva,RUS URS,3,0,1,4
